objectid,objectnumber,classification,culture,division,title,accessionyear,placeid,placename,lat,lon,personid,personculture,personname,personrole,uniquepageviews_2008,uniquepageviews_2009,uniquepageviews_2010,uniquepageviews_2011,uniquepageviews_2012,uniquepageviews_2013,uniquepageviews_2014,uniquepageviews_2015,uniquepageviews_2016,uniquepageviews_2017,uniquepageviews_2018,edits_2008,edits_2009,edits_2010,edits_2011,edits_2012,edits_2013,edits_2014,edits_2015,edits_2016,edits_2017,edits_2018,studycenterviews_2008,studycenterviews_2009,studycenterviews_2010,studycenterviews_2011,studycenterviews_2012,studycenterviews_2013,studycenterviews_2014,studycenterviews_2015,studycenterviews_2016,studycenterviews_2017,studycenterviews_2018,conservation_2008,conservation_2009,conservation_2010,conservation_2011,conservation_2012,conservation_2013,conservation_2014,conservation_2015,conservation_2016,conservation_2017,conservation_2018,pageviews_2008,pageviews_2009,pageviews_2010,pageviews_2011,pageviews_2012,pageviews_2013,pageviews_2014,pageviews_2015,pageviews_2016,pageviews_2017,pageviews_2018,moves_2008,moves_2009,moves_2010,moves_2011,moves_2012,moves_2013,moves_2014,moves_2015,moves_2016,moves_2017,moves_2018
191270,M24204,Prints,American,Modern and Contemporary Art,Edward Ruscha (Ed-Werd Rew-Shay) Young Artist,1999,0,,0,0,28417,American,Edward Ruscha,Artist,,,,,1,12,7,21,15,14,18,,,,1,4,3,0,0,0,0,1,,,,,1,0,0,0,0,1,,,,,,,,,,,,,,,,,1,13,7,21,17,15,19,,3,0,0,10,6,9,4,0,3,
218443,1996.9.K,Drawings,German,Modern and Contemporary Art,"19 Pages.  Drawings for April 27, 1972",1996,0,,0,0,18434,German,Hanne Darboven,Artist,,,1,,,,,,,,,,5,0,0,1,1,0,2,2,1,,,,,,3,0,0,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,5,0,0,7,0,1,9,5,1,1
218451,1996.9.S,Drawings,German,Modern and Contemporary Art,"19 Pages.  Drawings for April 27, 1972",1996,0,,0,0,18434,German,Hanne Darboven,Artist,,,,,1,,,,,,,,5,0,0,1,1,0,2,2,1,,,,,,3,0,0,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,5,0,0,7,0,1,9,5,1,1
218452,1996.9.E,Drawings,German,Modern and Contemporary Art,"19 Pages.  Drawings for April 27, 1972",1996,0,,0,0,18434,German,Hanne Darboven,Artist,,,,,,,,,,,,,5,0,0,1,1,0,2,2,1,,,,,,3,0,0,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,5,0,0,7,0,1,9,5,1,1
218597,1995.621,Prints,German,Modern and Contemporary Art,On the Flight to America,1995,0,,0,0,27839,German,Joseph Beuys,Artist,,,,1,,,,,,,,,2,0,0,2,0,0,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,5,3,0,0,9,2,0,4,11,15
218749,1995.611,Prints,German,Modern and Contemporary Art,On the Flight to America,1995,0,,0,0,27839,German,Joseph Beuys,Artist,,,,,1,,,,,,,,2,0,0,2,0,0,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,5,3,0,0,9,2,0,4,11,13
218880,1995.29,Multiples,German,Modern and Contemporary Art,A Political Party for Animals!,1995,0,,0,0,27839,German,Joseph Beuys,Artist,,,,1,1,1,3,1,1,4,,,,,,4,3,1,2,,,,,,,,5,0,0,0,0,2,,,,,,,,,,,,,,,,6,2,2,3,1,1,4,,,8,0,0,9,6,10,0,0,8,
219024,1995.607,Prints,German,Modern and Contemporary Art,On the Flight to America,1995,0,,0,0,27839,German,Joseph Beuys,Artist,,,,,,,,,,1,,,2,0,0,2,0,0,2,,,,,,,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,1,,,5,3,3,0,9,2,0,3,11,13
219026,1995.61,Prints,German,Modern and Contemporary Art,On the Flight to America,1995,0,,0,0,27839,German,Joseph Beuys,Artist,,,,,,1,,,,,,,2,0,0,2,0,0,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,5,3,0,0,9,2,0,4,11,13
219031,1995.62,Prints,German,Modern and Contemporary Art,On the Flight to America,1995,0,,0,0,27839,German,Joseph Beuys,Artist,,,,,,,,,,,,,2,0,0,2,0,0,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,5,3,0,0,9,2,0,4,11,13
219032,1995.634,Prints,German,Modern and Contemporary Art,Cosmos and Damian,1995,0,,0,0,27839,German,Joseph Beuys,Artist,,,,,,,,1,0,1,,,2,0,0,2,1,0,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,0,1,,,5,3,0,3,9,2,0,3,11,13
221045,1992.384,Prints,German,Modern and Contemporary Art,"Coal Mine, Ewald, Recklinghausen, Ruhr District, from the portfolio ""Walls and Conduits""",1992,0,,0,0,27813,German,Bernd and Hilla Becher,Artist,,,,1,0,4,1,2,,,,,,,,1,1,0,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,0,4,1,2,,,,,1,0,0,0,3,9,4,,,
221063,1992.378,Prints,German,Modern and Contemporary Art,"Coal Mine, Winterslag, Winterslag, Belgium, from the portfolio ""Walls and Conduits""",1992,0,,0,0,27813,German,Bernd and Hilla Becher,Artist,,,,1,1,4,0,2,1,,,,,,,1,1,0,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,1,4,0,2,1,,,,1,0,0,0,3,9,4,,,
236246,56.1993,Prints,American,Modern and Contemporary Art,Burning Small Fires,,2028213,"North America, United States",38,-98,27791,American,Bruce Nauman,Artist,,2,3,8,9,7,14,8,10,8,5,,,,2,3,1,0,0,1,,,,,,3,4,0,0,0,0,1,,,,,,1,,,,,,,,2,6,20,11,10,18,12,10,8,5,,4,3,21,12,9,1,0,0,12,2
260989,M22394,Prints,American,Modern and Contemporary Art,Untitled,1993,0,,0,0,29318,American,Andy Warhol,Artist,,,1,3,3,5,3,5,,,,,,,1,10,3,0,1,0,0,1,,,,,3,0,0,0,1,1,,,,,,1,,,,,,,,,4,6,3,5,4,7,,,,,9,0,0,10,0,8,2,0,3,
336314,2010.447,Drawings,Brazilian,Modern and Contemporary Art,Untitled,2010,0,,0,0,21471,Brazilian,Mira Schendel,Artist,,,18,26,15,10,30,15,11,2,4,,,27,0,2,1,0,3,,,,,,,,,,,1,1,1,3,,,,,1,,,,,,,,,40,62,22,11,31,16,13,2,4,,,13,0,8,2,13,6,5,4,13
336807,2010.449.14,Prints,American,Modern and Contemporary Art,Canto XIV,2010,0,,0,0,28223,American,Robert Rauschenberg,Artist,,,,,,,2,12,0,8,4,,,3,0,1,3,,,,,,,,,,,,,1,0,0,1,,,,,1,,,,,,,,,,,,,2,12,0,8,5,,,1,0,0,0,0,2,0,5,
